tractcode,pcat_all,pcat_10x1
01001020100,4,4
01001020200,4,4
01001020300,5,4
01001020400,5,5
01001020500,5,5
01001020600,5,4
01001020700,4,4
01001020801,4,3
01001020802,5,4
01001020900,3,2
01001021000,2,1
01001021100,2,1
01003010100,3,2
01003010200,3,2
01003010300,5,3
01003010400,4,2
01003010500,4,3
01003010600,3,2
01003010701,5,4
01003010703,5,4
01003010704,5,5
01003010705,5,4
01003010800,5,5
01003010903,5,3
01003010904,5,2
01003010905,5,3
01003010906,4,2
01003011000,5,3
01003011101,5,4
01003011102,5,4
01003011201,5,5
01003011202,5,5
01003011300,5,5
01003011401,4,1
01003011403,5,2
01003011405,5,5
01003011406,5,5
01003011407,5,5
01003011408,5,5
01003011501,4,1
01003011502,5,1
01003011601,5,2
01003011602,5,2
01005950100,3,3
01005950200,2,1
01005950300,2,1
01005950400,3,1
01005950500,4,3
01005950600,3,3
01005950700,4,3
01005950800,4,4
01005950900,3,3
01007010001,2,2
01007010002,4,3
01007010003,3,2
01007010004,2,1
01009050101,3,1
01009050102,4,1
01009050200,3,1
01009050300,3,1
01009050400,3,1
01009050500,3,1
01009050601,4,3
01009050602,4,3
01009050700,4,2
01011952100,2,1
01011952200,2,1
01011952500,2,1
01013952700,5,1
01013952800,4,3
01013952900,3,2
01013953000,3,1
01013953100,3,2
01013953200,3,1
01013953300,3,1
01013953400,3,1
01013953500,3,1
01015000200,3,2
01015000300,2,1
01015000400,3,2
01015000500,2,1
01015000600,2,1
01015000700,4,3
01015000800,3,3
01015000900,4,4
01015001000,4,4
01015001100,4,3
01015001201,3,3
01015001202,4,3
01015001300,3,3
01015001400,3,3
01015001500,4,4
01015001600,4,3
01015001700,4,3
01015001800,4,4
01015002000,4,3
01015002101,3,3
01015002102,5,4
01015002103,4,3
01015002200,4,3
01015002300,3,3
01015002400,4,4
01015002501,4,3
01015002502,3,2
01015002600,3,2
01015981901,5,5
01015981902,0,0
01015981903,0,0
01017953800,2,1
01017953900,4,3
01017954000,2,2
01017954200,4,3
01017954300,4,4
01017954400,3,3
01017954500,4,3
01017954600,5,4
01017954700,4,4
01019955701,3,1
01019955702,3,1
01019955800,3,1
01019955900,3,2
01019956000,4,2
01019956100,2,1
01021060101,3,2
01021060102,4,3
01021060200,3,2
01021060300,3,1
01021060401,3,1
01021060402,4,2
01021060500,2,2
01021060600,2,2
01021060700,2,2
01023956700,3,1
01023956800,3,1
01023956900,3,1
01023957000,3,1
01025957500,3,2
01025957601,4,3
01025957602,4,2
01025957700,3,2
01025957800,3,1
01025957901,3,2
01025957902,4,3
01025958001,4,2
01025958002,3,2
01027958900,4,2
01027959000,3,1
01027959100,4,1
01027959200,3,2
01029959500,3,1
01029959600,3,1
01029959700,3,1
01029959800,3,1
01031010100,3,2
01031010200,3,2
01031010300,3,2
01031010400,3,2
01031010500,3,2
01031010600,4,1
01031010700,3,2
01031010800,4,3
01031010900,3,3
01031011000,4,3
01031011100,4,4
01031011201,5,4
01031011202,5,4
01031011300,3,2
01033020100,4,3
01033020200,3,3
01033020300,3,3
01033020400,5,4
01033020500,4,4
01033020600,4,3
01033020701,5,4
01033020703,5,4
01033020704,4,4
01033020801,3,2
01033020802,2,1
01033020901,3,3
01033020902,3,3
01033021000,3,1
01035960200,1,1
01035960300,4,1
01035960400,2,1
01035960500,5,3
01035960600,3,2
01037961000,3,2
01037961100,2,2
01037961200,3,2
01039961600,3,1
01039961700,3,1
01039961800,4,1
01039961900,3,1
01039962000,5,1
01039962100,3,1
01039962300,3,1
01039962400,2,1
01039962500,4,1
01039962600,5,1
01039962700,3,1
01039962800,4,1
01039962900,5,1
01039963000,4,3
01041963400,3,2
01041963500,3,1
01041963600,3,1
01041963700,3,2
01041963800,4,2
01041963900,3,2
01043964100,3,1
01043964200,3,2
01043964300,4,3
01043964400,4,3
01043964500,3,2
01043964600,3,3
01043964700,4,3
01043964800,4,4
01043964900,5,4
01043965000,4,4
01043965100,4,3
01043965200,4,3
01043965300,3,2
01043965401,3,2
01043965402,3,3
01043965500,3,2
01043965600,3,2
01043965700,3,2
01045020000,5,5
01045020100,3,2
01045020200,3,2
01045020300,3,2
01045020400,4,3
01045020500,3,2
01045020700,3,2
01045020801,4,2
01045020802,4,3
01045021101,4,3
